uid,name,entity_type,programs,country,aliases,list_name
10001,Viktor Anatolyevich Petrov,individual,UKRAINE-EO13662|RUSSIA-EO14024,Russia,Viktor A. Petrov|V. Petrov|Petrov Viktor,OFAC-SDN
10002,Mohammed Al-Amin Hassan,individual,SDGT,Syria,Muhammad Al Amin Hassan|Mohamed Alamin Hassan,OFAC-SDN
10003,Northern Star Trading Company Limited,entity,IRAN-EO13846,Iran,Northern Star Trading Co|NST Trading Ltd,OFAC-SDN
10004,Sergei Ivanovich Volkov,individual,RUSSIA-EO14024,Russia,Sergey Volkov|S.I. Volkov,OFAC-SDN
10005,Golden Horizon Shipping SA,entity,NPWMD,Panama,Golden Horizon Shipping|GH Shipping,OFAC-SDN
10006,Ahmed Bin Rashid Al-Maktoum,individual,SDGT,UAE,Ahmad bin Rashid Almaktoum,OFAC-SDN
10007,Pacific Delta Holdings BV,entity,CYBER2,Netherlands,Pacific Delta Holding|PDH BV,OFAC-SDN
10008,Chen Wei Ming,individual,NPWMD,China,Chen Weiming|Wei Ming Chen,OFAC-SDN
10009,Banco Continental del Sur SA,entity,SDNTK,Panama,Banco Continental Sur|BCS Panama,OFAC-SDN
10010,Olena Kovalenko,individual,UKRAINE-EO13660,Ukraine,Elena Kovalenko|O. Kovalenko,OFAC-SDN
